# budget :
170
# CUST NO.   XCOORD.   YCOORD.   VALUE
2	25	85	20
3	22	75	30
4	22	85	10
5	20	80	40
6	20	85	20
7	18	75	20
8	15	75	20
9	15	80	10
10	10	35	20
11	10	40	30
12	8	40	40
13	8	45	20
14	5	35	10
15	5	45	10
16	2	40	20
17	0	40	20
18	0	45	20
19	44	5	20
20	42	10	40
21	42	15	10
22	40	5	10
23	40	15	40
24	38	5	30
25	38	15	10
26	35	5	20
27	95	30	30
28	95	35	20
29	92	30	10
30	90	35	10
31	88	30	10
32	88	35	20
33	87	30	10
34	85	25	10
35	85	35	30
36	67	85	20
37	65	85	40
38	65	82	10
39	62	80	30
40	60	80	10
41	60	85	30
42	58	75	20
43	55	80	10
44	55	85	20
45	55	82	10
46	20	82	10
47	18	80	10
48	2	45	10
49	42	5	10
50	42	12	10

